Type, Location, Status, Num
工程,不限,不限,303
工程,不限,正在进行,0
工程,不限,即将开始,10
工程,不限,已结束,264
工程,不限,中止,4
工程,不限,撤回,25
工程,北京,不限,2
工程,北京,正在进行,0
工程,北京,即将开始,0
工程,北京,已结束,2
工程,北京,中止,0
工程,北京,撤回,0
工程,天津,不限,0
工程,天津,正在进行,0
工程,天津,即将开始,0
工程,天津,已结束,0
工程,天津,中止,0
工程,天津,撤回,0
工程,河北,不限,6
工程,河北,正在进行,0
工程,河北,即将开始,0
工程,河北,已结束,6
工程,河北,中止,0
工程,河北,撤回,0
工程,山西,不限,2
工程,山西,正在进行,0
工程,山西,即将开始,0
工程,山西,已结束,2
工程,山西,中止,0
工程,山西,撤回,0
工程,内蒙古,不限,0
工程,内蒙古,正在进行,0
工程,内蒙古,即将开始,0
工程,内蒙古,已结束,0
工程,内蒙古,中止,0
工程,内蒙古,撤回,0
工程,辽宁,不限,7
工程,辽宁,正在进行,0
工程,辽宁,即将开始,0
工程,辽宁,已结束,7
工程,辽宁,中止,0
工程,辽宁,撤回,0
工程,吉林,不限,12
工程,吉林,正在进行,0
工程,吉林,即将开始,0
工程,吉林,已结束,12
工程,吉林,中止,0
工程,吉林,撤回,0
工程,黑龙江,不限,5
工程,黑龙江,正在进行,0
工程,黑龙江,即将开始,0
工程,黑龙江,已结束,4
工程,黑龙江,中止,0
工程,黑龙江,撤回,1
工程,上海,不限,0
工程,上海,正在进行,0
工程,上海,即将开始,0
工程,上海,已结束,0
工程,上海,中止,0
工程,上海,撤回,0
工程,江苏,不限,31
工程,江苏,正在进行,0
工程,江苏,即将开始,1
工程,江苏,已结束,29
工程,江苏,中止,0
工程,江苏,撤回,1
工程,浙江,不限,66
工程,浙江,正在进行,0
工程,浙江,即将开始,1
工程,浙江,已结束,54
工程,浙江,中止,0
工程,浙江,撤回,11
工程,安徽,不限,15
工程,安徽,正在进行,0
工程,安徽,即将开始,1
工程,安徽,已结束,13
工程,安徽,中止,0
工程,安徽,撤回,1
工程,福建,不限,7
工程,福建,正在进行,0
工程,福建,即将开始,0
工程,福建,已结束,7
工程,福建,中止,0
工程,福建,撤回,0
工程,江西,不限,17
工程,江西,正在进行,0
工程,江西,即将开始,0
工程,江西,已结束,13
工程,江西,中止,2
工程,江西,撤回,2
工程,山东,不限,12
工程,山东,正在进行,0
工程,山东,即将开始,0
工程,山东,已结束,11
工程,山东,中止,0
工程,山东,撤回,1
工程,河南,不限,49
工程,河南,正在进行,0
工程,河南,即将开始,2
工程,河南,已结束,47
工程,河南,中止,0
工程,河南,撤回,0
工程,湖北,不限,2
工程,湖北,正在进行,0
工程,湖北,即将开始,1
工程,湖北,已结束,1
工程,湖北,中止,0
工程,湖北,撤回,0
工程,湖南,不限,2
工程,湖南,正在进行,0
工程,湖南,即将开始,0
工程,湖南,已结束,1
工程,湖南,中止,1
工程,湖南,撤回,0
工程,广东,不限,4
工程,广东,正在进行,0
工程,广东,即将开始,0
工程,广东,已结束,4
工程,广东,中止,0
工程,广东,撤回,0
工程,广西,不限,6
工程,广西,正在进行,0
工程,广西,即将开始,0
工程,广西,已结束,4
工程,广西,中止,0
工程,广西,撤回,2
工程,海南,不限,1
工程,海南,正在进行,0
工程,海南,即将开始,0
工程,海南,已结束,1
工程,海南,中止,0
工程,海南,撤回,0
工程,重庆,不限,5
工程,重庆,正在进行,0
工程,重庆,即将开始,1
工程,重庆,已结束,2
工程,重庆,中止,0
工程,重庆,撤回,2
工程,四川,不限,14
工程,四川,正在进行,0
工程,四川,即将开始,1
工程,四川,已结束,12
工程,四川,中止,1
工程,四川,撤回,0
工程,贵州,不限,20
工程,贵州,正在进行,0
工程,贵州,即将开始,0
工程,贵州,已结束,19
工程,贵州,中止,0
工程,贵州,撤回,1
工程,云南,不限,15
工程,云南,正在进行,0
工程,云南,即将开始,2
工程,云南,已结束,11
工程,云南,中止,0
工程,云南,撤回,2
工程,西藏,不限,0
工程,西藏,正在进行,0
工程,西藏,即将开始,0
工程,西藏,已结束,0
工程,西藏,中止,0
工程,西藏,撤回,0
工程,陕西,不限,0
工程,陕西,正在进行,0
工程,陕西,即将开始,0
工程,陕西,已结束,0
工程,陕西,中止,0
工程,陕西,撤回,0
工程,甘肃,不限,3
工程,甘肃,正在进行,0
工程,甘肃,即将开始,0
工程,甘肃,已结束,2
工程,甘肃,中止,0
工程,甘肃,撤回,1
工程,青海,不限,0
工程,青海,正在进行,0
工程,青海,即将开始,0
工程,青海,已结束,0
工程,青海,中止,0
